year,team_abbr,pf_wOBA,pf_HR,pf_R,n_pa
2018,ATH,0.9916,0.804,0.9198,6139
2018,ATL,0.9969,0.7909,0.95,6241
2018,AZ,1.0273,0.9233,0.9947,6226
2018,BAL,1.0247,1.2016,1.0595,6194
2018,BOS,1.0077,0.9435,1.034,6230
2018,CHC,1.0232,0.9534,0.9847,6274
2018,CIN,0.9989,1.3486,1.0223,6377
2018,CLE,0.9957,1.0603,1.0232,6195
2018,COL,1.0323,1.208,1.1626,6226
2018,CWS,0.9931,0.9688,1.0131,6200
2018,DET,1.0287,0.9729,1.0312,6094
2018,HOU,0.8902,0.9229,0.9086,5984
2018,KC,1.0762,0.8977,1.0806,6238
2018,LAA,0.9991,1.1642,0.9423,6077
2018,LAD,0.9267,1.089,0.9558,6131
2018,MIA,0.9918,0.74,0.9521,6295
2018,MIL,0.9913,1.0982,0.9286,6093
2018,MIN,1.0793,1.0097,1.0393,6199
2018,NYM,0.9166,0.933,0.9016,6041
2018,NYY,1.007,1.1054,1.0361,6264
2018,PHI,0.9498,1.1375,0.9944,6134
2018,PIT,1.0085,0.8633,1.0012,6072
2018,SD,1.0451,0.9692,0.9977,6287
2018,SEA,0.9481,0.9781,0.9618,6020
2018,SF,1.0085,0.7591,1.0105,6168
2018,STL,1.0097,0.7946,0.972,6194
2018,TB,0.9479,0.8642,0.9382,6011
2018,TEX,1.0607,1.21,1.1223,6337
2018,TOR,0.9967,1.1411,1.0233,6216
2018,WSH,1.0267,1.1474,1.0388,6258
2019,ATH,1.005,0.8446,0.9577,6204
2019,ATL,1.0273,1.0564,1.018,6207
2019,AZ,1.0206,0.904,0.9944,6277
2019,BAL,1.0488,1.2579,1.0516,6330
2019,BOS,1.0077,0.8843,1.0077,6444
2019,CHC,0.9989,0.8792,1.0034,6141
2019,CIN,1.0045,1.0875,0.9924,6103
2019,CLE,0.9432,1.004,0.9549,6000
2019,COL,1.1251,1.278,1.219,6571
2019,CWS,1.0145,1.1335,0.9652,6039
2019,DET,1.0467,0.9807,1.0775,6337
2019,HOU,0.8887,1.1689,0.9783,6180
2019,KC,1.0484,0.7366,1.0745,6266
2019,LAA,1.0225,1.1124,0.9883,6348
2019,LAD,0.96,1.0482,0.9727,6010
2019,MIA,0.9992,0.8965,0.9803,6208
2019,MIL,0.9636,1.0481,0.9703,6175
2019,MIN,1.0066,0.8523,0.9964,6377
2019,NYM,0.9385,1.042,0.9469,6152
2019,NYY,0.9454,0.9999,0.9517,6012
2019,PHI,1.0113,1.2706,1.0268,6306
2019,PIT,1.0285,0.8886,1.0106,6421
2019,SD,0.9988,0.917,0.9401,6062
2019,SEA,1.0014,0.9822,0.9949,6210
2019,SF,0.9796,0.7364,0.9435,6230
2019,STL,0.9911,0.8203,0.962,6031
2019,TB,0.9231,0.8284,0.9213,6157
2019,TEX,1.0182,0.9994,1.091,6448
2019,TOR,1.0036,1.1713,0.9713,6263
2019,WSH,1.0291,1.1708,1.0373,6269
2020,ATH,0.9706,0.6984,0.959,2217
2020,ATL,1.012,0.8866,0.9848,2314
2020,AZ,1.0826,1.003,1.0479,2295
2020,BAL,0.9727,0.9914,0.8842,2243
2020,BOS,1.041,0.9712,1.1233,2427
2020,CHC,0.9779,0.7978,0.962,2161
2020,CIN,0.9525,1.4778,0.9891,2161
2020,CLE,0.9182,0.8145,1.0199,2218
2020,COL,1.04,1.1025,1.2372,2343
2020,CWS,1.0097,1.079,0.9482,2222
2020,DET,1.0435,0.9466,1.0353,2023
2020,HOU,0.9385,0.8423,0.927,2134
2020,KC,1.0623,0.8701,1.0938,2236
2020,LAA,1.0945,1.2358,1.0968,2342
2020,LAD,0.9858,1.1405,0.9852,2203
2020,MIA,0.9987,0.8227,0.9854,2091
2020,MIL,0.938,1.0669,0.989,2153
2020,MIN,0.9383,0.8244,0.9481,2141
2020,NYM,0.9639,1.0625,0.9337,2276
2020,NYY,1.066,1.6401,1.0602,2224
2020,PHI,1.0217,1.127,1.0034,2244
2020,PIT,1.0363,0.879,1.013,2263
2020,SD,0.998,1.1906,0.9447,2130
2020,SEA,0.9542,1.0112,0.9372,2193
2020,SF,1.0558,1.0061,1.0209,2298
2020,STL,1.0196,1.0798,0.9657,2080
2020,TB,0.9198,0.8091,0.9299,2218
2020,TEX,0.9935,0.8597,1.0085,2247
2020,TOR,1.0163,0.885,1.042,2283
2020,WSH,0.978,0.8781,0.9246,2222
2021,ATH,0.9751,0.8591,0.9575,6030
2021,ATL,0.9825,0.9801,0.9842,5995
2021,AZ,1.017,0.923,1.1246,6292
2021,BAL,1.1008,1.4936,1.0999,6200
2021,BOS,1.0208,0.8748,1.1113,6218
2021,CHC,1.0327,1.2281,1.0282,6110
2021,CIN,1.0044,1.2622,1.0579,6270
2021,CLE,0.9973,1.0812,0.9826,5879
2021,COL,1.0364,1.0954,1.1651,6187
