pitcher,year,pitcher_team
112526,2018,TEX
279571,2018,MIN
282332,2018,NYY
407822,2018,AZ
407845,2018,MIN
408314,2018,NYM
424144,2018,CLE
425492,2018,WSH
425772,2018,AZ
425794,2018,STL
425844,2018,AZ
429719,2018,ATH
429722,2018,MIN
430641,2018,KC
430935,2018,TEX
433586,2018,ATH
433587,2018,SEA
433589,2018,ATH
434378,2018,HOU
434538,2018,DET
434628,2018,KC
434671,2018,ATL
434778,2018,TOR
435043,2018,MIN
435221,2018,ATL
444468,2018,HOU
445197,2018,COL
445213,2018,WSH
445276,2018,LAD
445926,2018,TEX
446099,2018,TOR
446321,2018,SEA
446372,2018,CLE
446386,2018,CLE
446399,2018,STL
446899,2018,MIA
448167,2018,TEX
448178,2018,TEX
448179,2018,LAD
448281,2018,WSH
448306,2018,CWS
448602,2018,WSH
448609,2018,HOU
448614,2018,WSH
448802,2018,TOR
448855,2018,MIL
450203,2018,HOU
450212,2018,PHI
450306,2018,NYM
450665,2018,AZ
450729,2018,TEX
451584,2018,COL
451596,2018,TEX
451661,2018,LAD
452657,2018,CHC
453172,2018,CIN
453178,2018,KC
453192,2018,CLE
453214,2018,BOS
453265,2018,SF
453281,2018,SEA
453284,2018,LAA
453286,2018,WSH
453329,2018,AZ
453343,2018,SF
453344,2018,CHC
453385,2018,SD
453562,2018,PHI
455119,2018,TEX
456034,2018,BOS
456068,2018,CWS
456124,2018,MIL
456501,2018,SF
456696,2018,CIN
456701,2018,CIN
456713,2018,TEX
457429,2018,MIL
457754,2018,CLE
457915,2018,MIA
457918,2018,TOR
458006,2018,MIL
458584,2018,CWS
458677,2018,CHC
458681,2018,MIN
458690,2018,CWS
458708,2018,CLE
458924,2018,ATL
459429,2018,COL
460060,2018,CIN
460077,2018,KC
460269,2018,MIN
460283,2018,NYM
460576,2018,TB
461325,2018,TOR
461829,2018,WSH
461833,2018,SD
461865,2018,SEA
461872,2018,NYM
462136,2018,TOR
462382,2018,LAA
462480,2018,TOR
462515,2018,ATL
465657,2018,CWS
465753,2018,PHI
467008,2018,CHC
467055,2018,SF
467100,2018,PIT
468396,2018,CLE
468504,2018,MIL
471911,2018,CLE
472610,2018,PHI
473879,2018,SF
474463,2018,ATH
475054,2018,TB
475115,2018,SD
475857,2018,SEA
476451,2018,WSH
476454,2018,NYY
476589,2018,NYY
476594,2018,SD
477132,2018,LAD
477569,2018,AZ
487675,2018,LAD
488671,2018,AZ
488748,2018,ATH
488768,2018,BAL
488786,2018,DET
488818,2018,SF
488846,2018,CHC
488984,2018,PHI
489119,2018,MIL
489265,2018,TB
489334,2018,SD
489446,2018,SD
489448,2018,MIL
491646,2018,CWS
491696,2018,TB
493200,2018,TOR
493247,2018,ATL
493603,2018,COL
500724,2018,LAA
500779,2018,CHC
500872,2018,CWS
501593,2018,CWS
501625,2018,LAA
501697,2018,BAL
501789,2018,HOU
501817,2018,TEX
501822,2018,ATH
501925,2018,HOU
501957,2018,BAL
501985,2018,TEX
502004,2018,PIT
502026,2018,MIL
502028,2018,LAA
502032,2018,STL
502042,2018,TB
502043,2018,MIN
502051,2018,ATL
502083,2018,CLE
502085,2018,NYY
502143,2018,BAL
502154,2018,NYY
502171,2018,BAL
502188,2018,SF
502190,2018,SEA
502202,2018,AZ
502212,2018,TEX
502239,2018,ATH
502327,2018,CWS
502381,2018,STL
502522,2018,WSH
502593,2018,TOR
502624,2018,MIL
502706,2018,SF
502748,2018,HOU
503285,2018,BAL
503449,2018,KC
504379,2018,SEA
506433,2018,CHC
516472,2018,LAA
516969,2018,KC
517008,2018,SEA
517414,2018,AZ
518397,2018,LAD
518445,2018,DET
518452,2018,COL
518489,2018,BOS
518516,2018,SF
518553,2018,CHC
518566,2018,LAA
518586,2018,ATL
518614,2018,AZ
518617,2018,TEX
518633,2018,KC
518693,2018,ATL
518715,2018,SF
518748,2018,KC
518774,2018,CIN
518813,2018,STL
518858,2018,CWS
518875,2018,WSH
518883,2018,ATH
518886,2018,BOS
519008,2018,AZ
519043,2018,TEX
519096,2018,CLE
519141,2018,BOS
519144,2018,BOS
519151,2018,MIN
519166,2018,CLE
519203,2018,CHC
519240,2018,SEA
519242,2018,BOS
519293,2018,SF
519294,2018,PIT
519295,2018,ATH
519301,2018,WSH
519326,2018,SF
519381,2018,LAD
519393,2018,BOS
519443,2018,BOS
519455,2018,DET
520980,2018,LAD
521230,2018,ATH
521655,2018,TB
523260,2018,BOS
525768,2018,WSH
527048,2018,TEX
527054,2018,ATL
527055,2018,ATL
532077,2018,HOU
533167,2018,LAA
534606,2018,MIN
534812,2018,CIN
541640,2018,SEA
541650,2018,MIL
541652,2018,CWS
542289,2018,LAD
542432,2018,ATL
542881,2018,COL
542882,2018,TB
542888,2018,SEA
542914,2018,CHC
542924,2018,CLE
542946,2018,ATH
542947,2018,BAL
542960,2018,BAL
543001,2018,DET
543022,2018,CHC
543031,2018,MIA
543037,2018,HOU
543045,2018,MIA
543056,2018,ATH
543101,2018,CIN
543118,2018,MIN
543135,2018,BOS
543144,2018,CWS
543169,2018,KC
543193,2018,NYM
543208,2018,TOR
543219,2018,BAL
543243,2018,NYY
543258,2018,TOR
543272,2018,SD
543278,2018,DET
543294,2018,CHC
543331,2018,MIL
543339,2018,LAD
543359,2018,MIL
543391,2018,SF
543424,2018,LAA
543475,2018,SD
543483,2018,MIN
543506,2018,KC
543507,2018,MIN
543508,2018,CHC
543521,2018,HOU
543548,2018,WSH
543557,2018,CHC
543606,2018,MIN
543699,2018,WSH
543734,2018,COL
543746,2018,CWS
543766,2018,COL
543883,2018,SEA
543901,2018,TB
543903,2018,CHC
543935,2018,DET
544727,2018,NYM
544836,2018,KC
544928,2018,STL
544931,2018,WSH
545332,2018,AZ
545333,2018,CLE
545363,2018,MIA
547007,2018,SEA
547179,2018,CIN
547749,2018,MIA
547888,2018,NYY
547943,2018,LAD
547973,2018,NYY
548357,2018,SEA
548389,2018,LAD
552640,2018,TB
553878,2018,PIT
553902,2018,MIN
554340,2018,LAD
554430,2018,NYM
570240,2018,LAA
570632,2018,MIA
570663,2018,LAA
570666,2018,NYY
570702,2018,ATH
571035,2018,BOS
571473,2018,NYM
571476,2018,CWS
571510,2018,DET
571521,2018,ATL
571561,2018,LAD
571577,2018,NYM
571578,2018,AZ
571602,2018,CWS
571656,2018,DET
571666,2018,DET
571670,2018,CIN
571704,2018,HOU
571710,2018,BAL
571735,2018,NYY
571760,2018,LAA
571771,2018,LAD
571800,2018,TEX
571863,2018,AZ
571871,2018,LAA
571882,2018,SF
571893,2018,LAD
571901,2018,TOR
571927,2018,NYM
571945,2018,STL
571946,2018,AZ
571948,2018,PHI
571951,2018,SD
572020,2018,SEA
572021,2018,SEA
572044,2018,COL
572070,2018,LAA
572140,2018,LAA
572143,2018,KC
572193,2018,TOR
572308,2018,SF
572362,2018,SD
572403,2018,DET
572703,2018,LAA
572750,2018,TEX
572888,2018,DET
572955,2018,SF
572971,2018,HOU
572998,2018,ATH
573046,2018,SEA
573064,2018,TB
573109,2018,NYM
573124,2018,MIN
573127,2018,LAD
573166,2018,TOR
573185,2018,MIA
573186,2018,TOR
573668,2018,CWS
576397,2018,STL
580792,2018,CLE
582494,2018,BOS
584171,2018,BOS
591672,2018,LAA
591693,2018,PHI
592094,2018,KC
592102,2018,CLE
592127,2018,DET
592130,2018,TOR
592135,2018,LAA
592145,2018,ATL
592169,2018,CIN
592170,2018,LAA
592222,2018,TEX
592229,2018,CWS
592238,2018,TOR
592314,2018,ATL
592332,2018,BAL
592340,2018,LAD
592351,2018,COL
592390,2018,BOS
592407,2018,MIA
592426,2018,ATL
592454,2018,NYY
592468,2018,PIT
592473,2018,TB
592499,2018,DET
592547,2018,LAA
592570,2018,LAA
592612,2018,SF
592644,2018,CLE
592662,2018,AZ
592665,2018,MIN
592705,2018,SEA
592712,2018,TEX
592716,2018,TEX
592717,2018,TOR
592741,2018,NYY
592761,2018,MIA
592769,2018,SF
592773,2018,TB
592779,2018,LAD
592789,2018,NYM
592791,2018,PIT
592804,2018,BOS
592811,2018,ATH
592815,2018,STL
592826,2018,PHI
592833,2018,NYM
592836,2018,AZ
592848,2018,CIN
592858,2018,SD
592865,2018,MIL
592866,2018,PIT
593140,2018,PIT
593144,2018,PIT
593334,2018,NYY
593372,2018,STL
593423,2018,ATH
593576,2018,PHI
593833,2018,WSH
593958,2018,BOS
593974,2018,CIN
594027,2018,MIA
594056,2018,HOU
594577,2018,STL
594742,2018,MIL
594798,2018,NYM
594824,2018,STL
594835,2018,SEA
594840,2018,WSH
594902,2018,PHI
594943,2018,LAD
594965,2018,STL
594987,2018,PIT
594992,2018,CIN
595014,2018,ATH
595032,2018,ATL
595191,2018,PHI
595234,2018,BOS
595345,2018,SF
595411,2018,STL
595465,2018,ATL
595881,2018,SF
595897,2018,PIT
595918,2018,NYY
595928,2018,MIN
596001,2018,KC
596027,2018,CHC
596043,2018,ATH
596057,2018,DET
596071,2018,MIA
596074,2018,BOS
596101,2018,TOR
596112,2018,CIN
596133,2018,STL
596271,2018,SEA
596295,2018,STL
596451,2018,PHI
596720,2018,PIT
596816,2018,SF
597113,2018,COL
598264,2018,BOS
598271,2018,BOS
598287,2018,LAA
599683,2018,DET
600301,2018,SEA
600303,2018,CHC
600917,2018,TEX
600944,2018,TOR
600965,2018,TEX
600968,2018,CHC
600986,2018,CWS
601713,2018,PHI
602083,2018,LAA
605121,2018,LAA
605130,2018,KC
605135,2018,ATH
605143,2018,SF
605151,2018,AZ
605154,2018,STL
605155,2018,SD
605156,2018,ATH
605164,2018,BAL
605170,2018,CHC
605177,2018,AZ
605182,2018,CLE
605195,2018,PIT
605200,2018,MIL
605204,2018,HOU
605218,2018,CHC
605232,2018,CIN
605240,2018,CWS
605242,2018,DET
605254,2018,ATH
605255,2018,MIA
605260,2018,TOR
605276,2018,BAL
605280,2018,PIT
605288,2018,MIL
605301,2018,LAA
605309,2018,TEX
605347,2018,KC
605359,2018,CLE
605388,2018,PHI
605397,2018,PIT
