pitcher,year,split_day,cutoff_date,fps_pct_last100pa,putaway_pct_last50pa,fps_pct_to_sd,putaway_pct_to_sd,fps_pct_delta_l100,putaway_pct_delta_l50
453385,2018,30,2018-04-28,0.64,0.44,0.6258503401360545,0.4193548387096774,0.014149659863945563,0.020645161290322622
453385,2018,60,2018-05-28,0.65,0.46,0.607773851590106,0.4444444444444444,0.042226148409894027,0.0155555555555556
453385,2018,90,2018-06-27,0.56,0.42,0.6035634743875279,0.4285714285714285,-0.043563474387527834,-0.008571428571428508
453385,2018,120,2018-07-27,0.65,0.3,0.6117021276595744,0.4085106382978723,0.03829787234042559,-0.10851063829787233
453385,2019,90,2019-06-18,,,0.5473684210526316,0.2666666666666666,,
475115,2018,30,2018-04-28,0.57,0.46,0.5447154471544715,0.4428571428571428,0.02528455284552844,0.017142857142857237
475115,2018,60,2018-05-28,0.6,0.42,0.5912698412698413,0.4444444444444444,0.0087301587301587,-0.024444444444444435
475115,2018,90,2018-06-27,0.56,0.3,0.5692695214105793,0.4072398190045249,-0.00926952141057924,-0.1072398190045249
475115,2018,120,2018-07-27,0.52,0.32,0.5681818181818182,0.3929961089494163,-0.048181818181818215,-0.07299610894941627
475115,2019,30,2019-04-19,0.62,,0.6237623762376238,0.3469387755102041,-0.0037623762376237657,
501381,2019,30,2019-04-19,,,0.6447368421052632,0.3809523809523809,,
501381,2019,60,2019-05-19,0.59,0.42,0.6268656716417911,0.3867924528301887,-0.03686567164179111,0.03320754716981128
501381,2019,90,2019-06-18,0.61,0.38,0.6217948717948718,0.382716049382716,-0.01179487179487182,-0.002716049382715968
501381,2019,120,2019-07-18,0.6,0.52,0.6142506142506142,0.416267942583732,-0.014250614250614246,0.10373205741626801
501381,2021,30,2021-05-01,0.67,0.52,0.6822429906542056,0.5,-0.012242990654205532,0.020000000000000018
501381,2021,60,2021-05-31,0.65,0.4,0.6704545454545454,0.4545454545454545,-0.020454545454545392,-0.05454545454545445
501381,2021,90,2021-06-30,0.67,0.3,0.6796536796536796,0.3983739837398374,-0.009653679653679581,-0.09837398373983741
501381,2021,120,2021-07-30,0.65,0.32,0.6655518394648829,0.4052287581699346,-0.015551839464882922,-0.08522875816993458
501381,2022,30,2022-05-07,,,0.5614035087719298,,,
501381,2022,60,2022-06-06,,,0.6022727272727273,0.2608695652173913,,
501381,2022,90,2022-07-06,0.6,0.28,0.6076923076923076,0.2786885245901639,-0.007692307692307665,0.0013114754098361159
501381,2022,120,2022-08-05,0.62,0.28,0.6132596685082873,0.2804878048780488,0.006740331491712714,-0.0004878048780487809
527048,2018,30,2018-04-28,0.57,,0.57,0.3055555555555556,0.0,
527048,2018,60,2018-05-28,0.51,,0.5546218487394958,0.3023255813953488,-0.04462184873949582,
527048,2018,90,2018-06-27,0.51,,0.5546218487394958,0.3023255813953488,-0.04462184873949582,
527048,2018,120,2018-07-27,0.58,0.34,0.5757575757575758,0.3205128205128205,0.004242424242424159,0.01948717948717954
527048,2019,60,2019-05-19,0.71,0.54,0.6681818181818182,0.4274193548387097,0.041818181818181754,0.11258064516129035
527048,2019,90,2019-06-18,0.54,0.36,0.625,0.4111111111111111,-0.08499999999999996,-0.05111111111111111
527048,2019,120,2019-07-18,0.68,0.34,0.639080459770115,0.3938053097345133,0.04091954022988509,-0.05380530973451325
527048,2021,30,2021-05-01,0.65,0.4,0.660377358490566,0.3888888888888889,-0.01037735849056598,0.011111111111111127
527048,2021,60,2021-05-31,0.62,0.5,0.6359447004608295,0.4433962264150943,-0.01594470046082952,0.0566037735849057
527048,2021,90,2021-06-30,0.6,0.34,0.6276276276276276,0.4039735099337748,-0.027627627627627604,-0.06397350993377476
527048,2021,120,2021-07-30,0.63,0.42,0.6261467889908257,0.4120603015075377,0.003853211009174351,0.007939698492462288
527048,2022,30,2022-05-07,0.64,,0.6422018348623854,0.4347826086956521,-0.0022018348623853434,
527048,2022,60,2022-06-06,0.6,0.44,0.6185185185185185,0.4409448818897638,-0.01851851851851849,-0.0009448818897637712
527048,2022,90,2022-07-06,0.63,0.4,0.6112469437652812,0.4285714285714285,0.01875305623471879,-0.02857142857142847
527048,2022,120,2022-08-05,0.65,0.52,0.6145251396648045,0.4513618677042801,0.035474860335195535,0.06863813229571991
527048,2023,30,2023-04-29,0.71,0.34,0.6942148760330579,0.3870967741935484,0.015785123966942094,-0.04709677419354835
527048,2023,60,2023-05-29,0.65,0.34,0.6869918699186992,0.3565217391304348,-0.03699186991869918,-0.016521739130434754
527048,2023,90,2023-06-28,0.51,0.28,0.6317135549872123,0.3314917127071823,-0.12171355498721226,-0.05149171270718228
527048,2023,120,2023-07-28,0.59,0.28,0.6327433628318584,0.3300970873786408,-0.04274336283185842,-0.05009708737864077
527048,2024,30,2024-04-27,0.61,0.44,0.6554054054054054,0.4029850746268656,-0.045405405405405386,0.03701492537313439
527048,2024,60,2024-05-27,0.62,0.3,0.6313725490196078,0.365079365079365,-0.011372549019607825,-0.06507936507936501
527048,2024,90,2024-06-26,0.62,0.3,0.6313725490196078,0.365079365079365,-0.011372549019607825,-0.06507936507936501
527048,2024,120,2024-07-26,0.57,0.3,0.6203208556149733,0.3442622950819672,-0.05032085561497335,-0.04426229508196722
527048,2025,30,2025-04-26,,,0.6144578313253012,0.4736842105263157,,
527048,2025,60,2025-05-26,,,0.6144578313253012,0.4736842105263157,,
