bref_id,season,name_bref,team_bref,ip_bref,g_bref,ir,is_count,is_pct
abadfe01,2017,Fernando Abad*,BOS,43.2,48,28,8,71.0
adamsau02,2017,Austin Adams,WSN,5.0,6,0,0,
adlemti01,2017,Tim Adleman,CIN,122.1,30,5,0,100.0
alberan01,2017,Andrew Albers*,SEA,41.0,9,3,3,0.0
alberma01,2017,Matt Albers,WSN,61.0,63,41,15,63.0
albural01,2017,Al Alburquerque,TOT,18.0,21,5,4,20.0
alcanra01,2017,Raúl Alcántara,OAK,24.0,8,0,0,
alcansa01,2017,Sandy Alcantara,STL,8.1,8,0,0,
alcanvi01,2017,Victor Alcántara,DET,7.1,6,2,2,0.0
alexasc02,2017,Scott Alexander*,KCR,69.0,58,54,12,78.0
allenco01,2017,Cody Allen,CLE,67.1,69,14,2,86.0
almonmi01,2017,Miguel Almonte,KCR,2.0,2,0,0,
altavda01,2017,Dan Altavilla,SEA,46.2,41,24,7,71.0
alvarda01,2017,Dario Álvarez*,TEX,16.1,20,24,13,46.0
alvarjo02,2017,José Álvarez*,LAA,48.2,64,35,6,83.0
alvarjo03,2017,José Alvarado*,TBR,29.2,35,18,4,78.0
anderdr02,2017,Drew Anderson,PHI,2.1,2,0,0,
anderty01,2017,Tyler Anderson*,COL,86.0,17,1,1,0.0
andrima01,2017,Matt Andriese,TBR,86.0,18,0,0,
aokino01,2017,Nori Aoki,TOT,1.0,1,0,0,
aquinja01,2017,Jayson Aquino*,BAL,13.1,4,0,0,
aranovi01,2017,Víctor Arano,PHI,10.2,10,2,0,100.0
armstsh01,2017,Shawn Armstrong,CLE,24.2,21,7,4,43.0
asheral01,2017,Alec Asher,BAL,60.0,24,11,5,55.0
astinba01,2017,Barrett Astin,CIN,8.0,6,5,0,100.0
avilalu01,2017,Luis Avilán*,LAD,46.0,61,22,4,82.0
axforjo01,2017,John Axford,OAK,21.0,22,6,1,83.0
aybarer01,2017,Erick Aybar,SDP,1.1,2,3,0,100.0
baezpe01,2017,Pedro Báez,LAD,64.0,66,20,2,90.0
bailean01,2017,Andrew Bailey,LAA,4.0,4,0,0,
bandaan01,2017,Anthony Banda*,ARI,25.2,8,1,0,100.0
barbajo01,2017,Johnny Barbato,PIT,28.2,24,7,1,86.0
barneda02,2017,Danny Barnes,TOR,66.0,60,37,5,86.0
barneja01,2017,Jacob Barnes,MIL,72.0,73,17,5,71.0
barnema01,2017,Matt Barnes,BOS,69.2,70,18,3,83.0
barneto01,2017,Tony Barnette,TEX,57.1,50,43,22,49.0
barraky01,2017,Kyle Barraclough,MIA,66.0,66,9,5,44.0
barreja01,2017,Jake Barrett,ARI,27.0,28,11,4,64.0
bassan01,2017,Anthony Bass,TEX,5.2,2,1,1,0.0
bastaan01,2017,Antonio Bastardo*,PIT,9.0,9,5,2,60.0
bauertr01,2017,Trevor Bauer,CLE,176.1,32,2,1,50.0
baumabu01,2017,Buddy Baumann*,SDP,17.2,23,18,4,78.0
beatope01,2017,Pedro Beato,PHI,0.2,1,0,0,
beckch02,2017,Chris Beck,CHW,64.2,57,38,15,61.0
