pitcher,game_pk,game_date,year,catcher_mlbam,n_pitches
112526,529469,2018-04-02,2018,455139,89
112526,529640,2018-04-15,2018,455139,96
112526,529718,2018-04-21,2018,455139,78
112526,529814,2018-04-28,2018,455139,98
112526,529881,2018-05-04,2018,455139,91
112526,529952,2018-05-09,2018,542208,98
112526,530051,2018-05-16,2018,542208,80
112526,530114,2018-05-21,2018,455139,99
112526,530175,2018-05-26,2018,542208,103
112526,530267,2018-06-01,2018,542208,68
112526,530329,2018-06-06,2018,455139,97
112526,530408,2018-06-12,2018,455139,72
112526,530488,2018-06-18,2018,455139,90
112526,530571,2018-06-24,2018,643396,82
112526,530640,2018-06-30,2018,455139,79
112526,530730,2018-07-06,2018,455139,97
112526,530799,2018-07-11,2018,455139,96
112526,530877,2018-07-21,2018,455139,73
112526,530952,2018-07-26,2018,455139,106
112526,531023,2018-07-31,2018,455139,90
112526,531117,2018-08-07,2018,455139,94
112526,531195,2018-08-13,2018,455139,79
112526,531287,2018-08-20,2018,455139,94
112526,531498,2018-09-05,2018,455139,74
282332,529439,2018-03-31,2018,596142,84
282332,529509,2018-04-06,2018,596142,58
282332,529690,2018-04-19,2018,596142,71
282332,529753,2018-04-24,2018,596142,82
282332,529824,2018-04-29,2018,596142,97
282332,529883,2018-05-04,2018,596142,92
282332,529963,2018-05-10,2018,596142,80
282332,530071,2018-05-18,2018,596142,99
282332,530141,2018-05-23,2018,519222,91
282332,530217,2018-05-29,2018,596142,99
282332,530249,2018-07-09,2018,543309,99
282332,530313,2018-06-05,2018,596142,89
282332,530410,2018-06-12,2018,519222,101
282332,530478,2018-06-17,2018,596142,102
282332,530535,2018-06-22,2018,596142,92
282332,530624,2018-06-29,2018,519222,97
282332,530693,2018-07-04,2018,543309,103
282332,530833,2018-07-14,2018,519222,92
282332,530959,2018-07-28,2018,543309,79
282332,531045,2018-08-02,2018,519222,77
282332,531113,2018-08-07,2018,543309,103
282332,531185,2018-08-12,2018,519222,97
282332,531333,2018-08-24,2018,519222,80
282332,531395,2018-08-29,2018,519222,91
282332,531471,2018-09-03,2018,596142,66
282332,531549,2018-09-09,2018,596142,84
282332,531632,2018-09-15,2018,596142,50
282332,531698,2018-09-21,2018,519222,97
282332,531789,2018-09-27,2018,519222,55
425794,529497,2018-04-05,2018,425877,91
