pitcher,year,n_starts,total_pitches,weighted_catcher_framing_runs_per_100,weighted_catcher_framing_runs
112526,2018,24.0,2123.0,-0.5627721559725123,-4.65592618365511
282332,2018,29.0,2507.0,0.5670103089520754,2.773334133647201
282332,2019,22.0,1703.0,0.10613461879625527,-0.07683629428788293
425794,2018,8.0,734.0,-0.301113819429315,-1.7474437007639874
425794,2019,31.0,2898.0,-0.515802803203642,-3.6009790212489396
425794,2021,32.0,3080.0,0.07615604230540869,0.8838724947936477
425794,2022,31.0,3034.0,0.011496541011175239,0.022174422409103722
425794,2023,21.0,1793.0,-0.23574584878618152,-2.182149656162899
425844,2018,33.0,3221.0,1.9458932355015524,11.461311157104143
425844,2019,33.0,3112.0,0.8366110912617297,1.9451020235229997
425844,2021,29.0,2549.0,0.27342633528517046,3.0422102403435187
425844,2022,25.0,2189.0,-0.9286372588789663,-6.302654820000611
425844,2023,24.0,1769.0,-0.3096313531314872,-2.66585748100821
429719,2018,17.0,1486.0,0.020174682122326423,-0.42322223786040525
429719,2019,13.0,1069.0,-0.20653126918046347,-0.8815409559206694
429722,2018,5.0,429.0,-0.6583809795924296,-5.188042119188347
429722,2019,3.0,250.0,-0.9630959318830103,-5.624930771812084
429722,2021,4.0,210.0,-0.27445944791796517,-4.375062413294136
430935,2018,32.0,3013.0,-0.4738909940501868,-3.9272509452233813
430935,2019,27.0,2398.0,0.1376579246698879,0.7965247745604545
431148,2021,4.0,181.0,0.1901807444829055,1.6412598248874748
433587,2018,25.0,2207.0,0.15839101715247506,0.9842856083535518
433587,2019,15.0,1216.0,-0.4456052066648707,-4.22565844666196
434378,2018,34.0,3427.0,0.21683819594105944,2.291160200030621
434378,2019,34.0,3448.0,-0.2742887082289982,-2.71271532438479
434378,2022,28.0,2607.0,-0.10200855746560236,-0.9479757413981297
434378,2023,27.0,2605.0,0.2218734062783031,2.0907105181414902
434378,2024,17.0,1580.0,0.035236002797263404,-0.45488048580301393
434378,2025,29.0,2612.0,1.0831245728044225,10.825665264900733
434538,2018,26.0,2235.0,-0.023818746155768886,-0.12082421631128962
434628,2018,18.0,1673.0,-0.05224691475115852,-1.7625925962533855
434671,2018,24.0,2072.0,-0.07943942564997845,-0.7494154554500865
434671,2019,30.0,2725.0,-0.40127736592558455,-2.6928706309135317
434671,2022,12.0,1100.0,-0.3640939166183905,-3.695957720642898
435221,2018,14.0,1118.0,-0.03583515559920103,-0.566682358440338
444468,2019,1.0,32.0,0.6524049217002235,2.7401006711409392
445213,2018,1.0,31.0,-0.3122145448473141,-4.043178355772721
445213,2021,1.0,13.0,-0.0031057560964686,-0.0347844682804492
445926,2019,9.0,477.0,-0.16051232907010887,-1.2125510038974017
445926,2021,4.0,113.0,0.17238257448909042,0.37652866559484444
445926,2022,1.0,18.0,0.4873489470919621,4.386140523827659
445926,2023,1.0,43.0,0.0688757434395324,0.6157491463494217
445926,2024,1.0,46.0,-0.0785614528991024,-0.5507157848227064
446099,2018,1.0,38.0,0.4928353528255343,3.607554782682913
446321,2019,12.0,950.0,-1.0912637656550834,-4.346568747792301
446321,2021,6.0,200.0,0.13369157231814213,0.5175230221465825
446372,2018,33.0,3099.0,0.4547141430125487,4.3778450511916285
446372,2019,7.0,611.0,0.4097273843312341,4.038068002907177
446372,2021,16.0,1338.0,0.24535495060070792,0.9439804451354877
446372,2022,31.0,2454.0,-0.07097947110476852,-0.7069908415077154
446372,2023,9.0,770.0,0.24284546436401772,0.9201154431596805
448179,2018,24.0,2066.0,0.7873957528646693,5.423833907576113
448179,2019,13.0,974.0,0.7304378037306312,3.5913560859758658
448179,2021,31.0,2422.0,0.18930590529719338,1.7795771322535165
448179,2022,26.0,1990.0,0.19655427212558224,1.3691461181965665
448179,2023,27.0,2366.0,1.1155864500280384,7.429234098509857
448179,2025,2.0,171.0,-0.3186473899940721,-2.7571058261730816
448306,2018,32.0,3164.0,-0.6219807633940502,-3.789168145059168
448802,2018,14.0,1095.0,0.7185290619697792,4.512653081151725
448855,2018,23.0,1977.0,0.29456428580483757,2.103238519242437
448855,2021,1.0,29.0,-1.5911739379146508,-1.7502913317061162
450172,2019,4.0,217.0,-0.9337098625978034,-3.6471968525448726
450203,2018,30.0,2672.0,0.42433068867882534,3.5127010244079666
450203,2019,33.0,3139.0,-0.1639184302888725,-0.7992652825854735
450203,2021,32.0,2897.0,0.07158057355589556,0.15146058389799671
450203,2022,30.0,2808.0,-0.004753761071956853,1.1783527136124967
450203,2023,29.0,2769.0,0.10924561434619734,0.7847287693187552
450203,2024,30.0,2796.0,-0.009428349965529376,-0.07767146482950814
450203,2025,28.0,2336.0,0.047286967900875686,1.2454295647695866
450306,2018,20.0,1555.0,-0.4853259178164633,-3.128084089360898
450306,2019,29.0,2489.0,-0.13295168865689252,-1.8835998392928945
450665,2018,1.0,101.0,0.8549214987593176,4.3600996436725215
450729,2018,12.0,1116.0,-0.5777018078375769,-4.196327284109771
451596,2018,18.0,1604.0,-1.0807591048167204,-4.937024355598084
452027,2021,3.0,255.0,0.2496728450080554,1.81282872544409
452657,2018,32.0,3125.0,-0.3122145448473141,-4.043178355772721
452657,2019,31.0,3043.0,0.08242774030509993,0.7570096697521925
452657,2021,28.0,2391.0,0.018689958583310157,0.5822617721899338
453178,2018,22.0,2065.0,-0.020897927916390564,-1.5407427467072239
453214,2018,4.0,354.0,0.0413903720229085,0.283937952077157
453281,2018,27.0,2243.0,0.16905039176564432,1.0091446574693046
453281,2019,11.0,900.0,-0.2892523374678118,-2.9932464578672655
453281,2021,9.0,637.0,-0.07881333956696086,0.28749241497436356
453284,2019,1.0,21.0,0.1940715883668902,0.6055033557046963
453286,2018,33.0,3490.0,-0.38051700584895026,-2.1698419404590807
453286,2019,27.0,2728.0,-0.2974975728437217,-2.0525048629835942
453286,2021,28.0,2640.0,-0.05973396919677613,0.7666282233909504
453286,2022,23.0,2167.0,0.4467945418522774,3.030681251932193
453286,2023,27.0,2469.0,0.5784284403550716,6.235860455639181
453286,2024,9.0,670.0,0.060672562956761565,0.14297419508005205
453286,2025,17.0,1354.0,0.8999176925675554,7.819817596928441
453329,2018,16.0,1421.0,1.2616470142369527,6.8084437752018605
453329,2019,12.0,964.0,0.26658988432749114,2.4319160180363335
453385,2018,27.0,2390.0,0.25272068905550316,0.9977877252222597
453385,2019,10.0,728.0,0.3512978961956077,3.449570445982989
453562,2018,31.0,2760.0,-0.02763573221093811,0.33799062131724567
453562,2019,24.0,2178.0,0.15625237321247953,1.7993173960471067
453562,2021,21.0,1534.0,0.02359747308341462,0.5072809622725077
456034,2018,30.0,2716.0,0.23121935640197055,1.6528497916565383
456034,2019,22.0,1862.0,0.4335498476758365,4.351808818546844
456034,2021,11.0,626.0,0.37383617427514154,2.6185801863848113
456051,2019,4.0,357.0,-0.2888866634269781,-2.952421700223714
456068,2018,3.0,258.0,-0.683655658899081,-3.87239934364819
456387,2019,1.0,74.0,-0.1724681747464774,-0.6795246085011192
456501,2018,9.0,794.0,0.22100173754196553,2.057517164575098
456501,2019,4.0,265.0,-0.04893371053195867,0.5668680617111967
456501,2021,19.0,1670.0,0.22474852373357537,1.546403209882269
456501,2022,23.0,2158.0,0.4864485482080001,2.5831044159610674
456501,2023,10.0,779.0,-0.3458857330046395,-2.348564127101501
456501,2024,2.0,173.0,0.1885948078778432,2.114147796310621
456701,2018,20.0,1823.0,-0.7501575511787781,-6.871643893474258
456701,2019,30.0,2739.0,-0.20643728833176786,-1.3055403319603431
456713,2022,6.0,70.0,0.4765871203406381,2.550936610003489
457754,2019,1.0,29.0,0.1869728229347911,0.7572399328859052
457918,2018,31.0,3044.0,0.6471443100157699,3.6636684809450584
457918,2019,30.0,2620.0,0.04153387730612954,-0.2250674257561037
457918,2021,30.0,2664.0,0.35470595732629057,2.005247769266454
458676,2021,1.0,80.0,0.57722705312785,2.753373043419844
458681,2018,29.0,2827.0,0.07715569880670038,-0.975519451973502
458681,2019,33.0,3553.0,-0.42768707917813065,-2.2628659745584763
458681,2021,28.0,2561.0,0.24736135942177906,1.363966514535099
458681,2022,20.0,1929.0,0.2501816103532363,1.3131767385498425
458681,2023,32.0,3174.0,0.1792840583178825,0.8331981958202793
458681,2024,23.0,2040.0,0.04428963726892681,0.22792940266795064
458690,2018,1.0,66.0,-0.9437502279959004,-3.80331341882348
458708,2018,9.0,724.0,0.31540535049874974,2.9657495272563335
458708,2019,1.0,52.0,0.9717940319259868,7.317609060402684
458708,2021,1.0,82.0,-0.4033372375779504,-1.7424168663367463
458924,2018,1.0,23.0,-0.658041214930277,-5.751280218490626
460283,2018,1.0,29.0,-0.5416125871389095,-3.6125559562165286
461325,2018,1.0,28.0,0.9206143530822549,5.486861544370237
461325,2019,3.0,71.0,0.2518892594205341,1.7133580284841023
461829,2018,31.0,2939.0,-0.34064181282330164,-1.7909885175784985
461829,2019,17.0,1373.0,0.6771272615731512,6.3859012050882145
461833,2018,2.0,131.0,0.6787487511792728,1.0724230268632522
462136,2018,28.0,2500.0,0.7506092217554551,4.523804778372843
462136,2019,5.0,408.0,-0.5336102792143498,-2.4536918714633535
462382,2018,1.0,35.0,0.3246794920467228,1.0811827085155858
465657,2019,1.0,19.0,-0.6165193810886216,-1.54746364653244
467100,2018,28.0,2445.0,-0.46165186635994787,-3.821688884391692
467100,2019,34.0,3009.0,-0.6811172497897382,-5.16173952973295
468504,2018,35.0,3018.0,0.43139407127488916,2.671926294665488
