batter,sprint_speed
703607,30.6
695508,30.4
622761,30.3
642201,30.3
677951,30.3
694371,30.1
804606,29.9
664983,29.9
642350,29.9
621439,29.8
682668,29.8
669003,29.8
607208,29.8
687363,29.7
682998,29.7
664702,29.7
683083,29.6
656537,29.6
702222,29.6
694362,29.6
669326,29.6
691718,29.5
699912,29.5
665923,29.5
805999,29.5
802415,29.5
686475,29.5
681987,29.5
695257,29.5
663968,29.4
687749,29.4
666152,29.4
695734,29.3
696285,29.3
686611,29.3
701358,29.2
665161,29.2
669392,29.2
682622,29.2
663604,29.2
691023,29.1
701162,29.1
657041,29.1
678882,29.1
673357,29.1
680776,29.1
687401,29.1
676551,29.0
687637,29.0
676356,29.0
621438,29.0
807713,29.0
691907,29.0
665750,29.0
677649,29.0
701538,29.0
814439,28.9
665487,28.9
686894,28.9
694497,28.9
677594,28.8
693304,28.8
691783,28.8
694249,28.8
685133,28.8
666181,28.8
808975,28.8
807712,28.8
680869,28.8
694192,28.7
686668,28.7
691594,28.7
663368,28.7
806198,28.7
624641,28.7
686217,28.7
670042,28.6
694728,28.6
671976,28.6
695490,28.6
691176,28.6
545361,28.6
681715,28.6
668930,28.6
687957,28.6
645302,28.6
680574,28.6
672724,28.6
682987,28.5
701807,28.5
694671,28.5
663330,28.5
683011,28.5
668715,28.5
682928,28.5
696030,28.5
642708,28.5
681082,28.5
668723,28.5
672016,28.5
701675,28.4
690984,28.5
669707,28.4
683766,28.4
695731,28.4
669127,28.4
702616,28.4
672640,28.4
678489,28.4
665833,28.4
665862,28.4
663538,28.4
694388,28.3
669398,28.3
641584,28.3
621020,28.3
694025,28.3
691026,28.3
683953,28.3
683679,28.3
663837,28.3
690924,28.3
682829,28.3
606992,28.3
683002,28.3
666160,28.3
630105,28.3
677942,28.3
606192,28.3
681624,28.3
678009,28.3
678246,28.3
696135,28.3
672761,28.2
701678,28.2
669364,28.2
607043,28.2
669369,28.2
828599,28.2
690993,28.2
803011,28.2
679845,28.2
669699,28.2
683357,28.2
664059,28.2
805808,28.2
664954,28.2
592663,28.2
810938,28.2
687597,28.2
650489,28.2
669016,28.1
800325,28.1
681393,28.1
543760,28.1
677800,28.1
668804,28.1
641933,28.1
686765,28.1
676609,28.1
656305,28.1
666176,28.1
682997,28.0
672012,28.0
699013,28.0
702332,28.0
681546,28.0
807747,28.0
687515,28.0
805347,28.0
669477,28.0
666139,28.0
805904,28.0
657656,28.0
681297,28.0
691781,28.0
678662,27.9
677870,27.9
596103,27.9
676694,27.9
683748,27.9
702284,27.9
667472,27.9
680779,27.9
676391,27.9
699393,27.9
664023,27.9
691723,27.9
670764,27.9
805300,27.9
596115,27.9
656716,27.9
691777,27.9
668952,27.9
695336,27.9
656775,27.9
701305,27.8
673548,27.8
663586,27.8
669743,27.8
670032,27.8
665019,27.8
811965,27.8
700246,27.8
668904,27.8
695600,27.8
677950,27.8
680474,27.8
687263,27.8
642715,27.8
676369,27.7
694203,27.8
668885,27.7
669701,27.7
663697,27.7
671289,27.7
665926,27.7
656577,27.7
691373,27.7
675961,27.7
457705,27.7
677588,27.7
676724,27.7
687231,27.7
642215,27.7
682657,27.7
672580,27.7
694377,27.7
660271,27.6
608070,27.6
671739,27.6
694514,27.6
682177,27.6
669242,27.6
677592,27.6
667670,27.6
802139,27.6
686452,27.6
673490,27.5
668709,27.5
686555,27.5
679822,27.5
641355,27.5
664056,27.5
660710,27.5
514888,27.5
693307,27.5
643396,27.4
701350,27.4
621493,27.4
663457,27.4
663494,27.4
660844,27.4
691785,27.4
665877,27.4
657136,27.4
695578,27.4
664728,27.4
660670,27.3
677587,27.3
666310,27.3
682663,27.3
609280,27.3
687282,27.3
696100,27.3
545341,27.3
662139,27.3
687551,27.3
687221,27.3
575929,27.3
669720,27.3
681351,27.3
592885,27.3
808982,27.3
694374,27.3
547180,27.2
669384,27.2
670097,27.2
592206,27.2
682818,27.2
669394,27.2
666023,27.2
595879,27.2
805367,27.2
669004,27.2
621043,27.2
669257,27.2
823550,27.2
676439,27.2
682674,27.1
573262,27.1
545121,27.1
669236,27.1
650859,27.1
691016,27.1
671218,27.1
808959,27.0
682848,27.0
678391,27.0
656582,27.0
645277,27.0
691740,27.0
691720,27.0
695506,27.0
805779,27.0
571970,27.0
666211,27.0
663743,27.0
676914,27.0
678554,27.0
655316,27.0
695720,27.0
691019,27.0
686681,27.0
593428,27.0
664770,27.0
680757,27.0
672695,26.9
806068,27.0
641343,26.9
695020,26.9
608701,26.9
663647,26.9
666624,26.9
663886,26.9
668227,26.9
643376,26.9
702176,26.9
669397,26.9
681481,26.9
664040,26.9
690976,26.9
672284,26.9
680700,26.9
543807,26.8
683146,26.8
643289,26.8
681508,26.8
663616,26.8
663611,26.8
694410,26.8
670770,26.8
663853,26.8
650333,26.7
687093,26.7
682985,26.7
700250,26.7
800050,26.7
699625,26.7
656811,26.7
602104,26.7
669899,26.7
663757,26.7
672820,26.7
592450,26.7
606466,26.7
663698,26.7
701398,26.7
694378,26.7
666464,26.7
672356,26.7
596019,26.6
669065,26.6
666397,26.6
596117,26.6
701762,26.6
671732,26.6
620443,26.6
657757,26.6
695657,26.6
643217,26.6
605141,26.5
664761,26.5
596146,26.5
682877,26.5
666969,26.5
622268,26.5
680777,26.5
671277,26.5
669289,26.4
665052,26.5
679529,26.4
660162,26.4
686797,26.4
688363,26.4
593871,26.4
660821,26.4
691406,26.4
663656,26.4
680728,26.3
676572,26.3
672960,26.3
691788,26.3
668670,26.3
681807,26.3
656484,26.2
807799,26.2
624428,26.2
668939,26.2
641555,26.2
691011,26.2
805811,26.2
686527,26.1
642086,26.1
605137,26.1
624424,26.1
687859,26.1
695238,26.1
665489,26.1
608324,26.1
650490,26.1
666182,26.0
646240,26.0
686948,26.0
665561,26.0
641487,26.0
500743,26.0
666971,26.0
672515,26.0
643446,26.0
666126,26.0
650391,26.0
516782,26.0
670242,26.0
553993,26.0
668942,26.0
624585,25.9
656941,25.9
572233,25.9
677595,25.9
694384,25.9
665742,25.9
683737,25.9
671056,25.8
641857,25.9
673962,25.8
623168,25.8
673237,25.8
682988,25.8
683734,25.8
661388,25.8
689414,25.8
669224,25.8
669134,25.7
663728,25.7
686469,25.7
668901,25.7
608348,25.7
664774,25.7
663993,25.7
645305,25.6
676475,25.6
666018,25.6
701852,25.6
691458,25.5
682626,25.5
671655,25.5
686780,25.5
678218,25.5
665861,25.5
700932,25.5
606115,25.5
678011,25.4
621566,25.4
502671,25.4
518692,25.3
672275,25.3
665804,25.3
665966,25.3
571448,25.3
543510,25.3
641680,25.3
624413,25.2
660688,25.2
592626,25.2
649966,25.2
669357,25.2
680977,25.2
641598,25.1
650402,25.1
665953,25.1
670623,25.0
681198,25.0
592518,25.0
670541,25.0
518595,25.0
608369,25.0
694212,25.0
642851,24.9
542303,24.9
687462,24.9
664034,24.8
656555,24.9
647304,24.6
650968,24.6
644433,24.6
656976,24.6
694208,24.6
543309,24.6
596142,24.5
595978,24.5
553869,24.5
640902,24.4
605170,24.4
700337,24.2
521692,23.9
519317,23.8
624431,23.4
543877,23.4
672386,22.9
506702,22.1
