team_abbr,year,n_lhb_pa,n_rhb_pa,n_pa,pct_lhb,pct_rhb
ATH,2022,2086,3786,5872,0.35524523160762944,0.6447547683923706
ATH,2023,2376,3595,5971,0.39792329593032993,0.6020767040696701
ATH,2024,2284,3760,6044,0.37789543348775645,0.6221045665122436
ATH,2025,2315,3841,6156,0.37605588044184535,0.6239441195581547
ATH,2026,607,708,1315,0.4615969581749049,0.538403041825095
ATL,2022,1781,4307,6088,0.2925427069645204,0.7074572930354797
ATL,2023,2479,3773,6252,0.3965131158029431,0.603486884197057
ATL,2024,2031,3971,6002,0.33838720426524493,0.6616127957347551
ATL,2025,2918,3275,6193,0.4711771354755369,0.5288228645244631
ATL,2026,722,632,1354,0.5332348596750369,0.4667651403249631
AZ,2022,3846,2188,6034,0.6373881339078555,0.3626118660921445
AZ,2023,3022,3111,6133,0.49274417087885214,0.5072558291211479
AZ,2024,2978,3311,6289,0.47352520273493404,0.526474797265066
AZ,2025,3274,2948,6222,0.5261973641915783,0.47380263580842175
AZ,2026,603,609,1212,0.4975247524752475,0.5024752475247525
BAL,2022,2410,3644,6054,0.3980839114634952,0.6019160885365048
BAL,2023,3303,2827,6130,0.5388254486133769,0.46117455138662317
BAL,2024,3605,2576,6181,0.5832389580973952,0.41676104190260477
BAL,2025,3300,2734,6034,0.5469008949287372,0.45309910507126283
BAL,2026,524,756,1280,0.409375,0.590625
BOS,2022,2396,3757,6153,0.38940354298716073,0.6105964570128393
BOS,2023,3281,2899,6180,0.5309061488673139,0.4690938511326861
BOS,2024,3522,2684,6206,0.5675153077666774,0.4324846922333226
BOS,2025,2814,3406,6220,0.45241157556270095,0.547588424437299
BOS,2026,552,730,1282,0.43057722308892354,0.5694227769110765
CHC,2022,1702,4385,6087,0.2796122884836537,0.7203877115163463
CHC,2023,2152,4083,6235,0.34514835605453087,0.6548516439454691
CHC,2024,2534,3597,6131,0.4133094111890393,0.5866905888109607
CHC,2025,2697,3398,6095,0.4424938474159147,0.5575061525840853
CHC,2026,520,833,1353,0.3843311160384331,0.6156688839615669
CIN,2022,1740,4251,5991,0.2904356534802203,0.7095643465197796
CIN,2023,2020,4188,6208,0.32538659793814434,0.6746134020618557
CIN,2024,2255,3729,5984,0.37683823529411764,0.6231617647058824
CIN,2025,2217,3878,6095,0.36374077112387204,0.636259228876128
CIN,2026,391,886,1277,0.30618637431480034,0.6938136256851997
CLE,2022,2563,3607,6170,0.41539708265802266,0.5846029173419773
CLE,2023,3516,2588,6104,0.5760157273918742,0.4239842726081258
CLE,2024,3995,1946,5941,0.6724457162093923,0.32755428379060764
CLE,2025,4069,1890,5959,0.6828326900486659,0.31716730995133413
CLE,2026,954,359,1313,0.7265803503427266,0.27341964965727344
COL,2022,1502,4612,6114,0.24566568531239777,0.7543343146876023
COL,2023,2316,3746,6062,0.38205212801055755,0.6179478719894425
COL,2024,2336,3701,6037,0.3869471591850257,0.6130528408149744
COL,2025,1565,4347,5912,0.26471583220568334,0.7352841677943166
COL,2026,669,659,1328,0.5037650602409639,0.49623493975903615
CWS,2022,1499,4630,6129,0.24457497144721815,0.7554250285527818
CWS,2023,1874,4118,5992,0.31275033377837114,0.6872496662216289
CWS,2024,2104,3774,5878,0.35794487921061585,0.6420551207893841
CWS,2025,2669,3324,5993,0.4453529117303521,0.5546470882696479
CWS,2026,670,631,1301,0.5149884704073789,0.48501152959262106
