team,pa_bat_to,xwoba_bat_to,pa_bat_recent,xwoba_bat_recent,pa_pit_to,xwoba_pit_to,pa_pit_recent,xwoba_pit_recent,bat_index,bat_index_recent,pit_index,pit_index_recent
LAD,1918,0.3569,720,0.3463,1793,0.3004,676,0.2964,1.1041,1.0713,0.9291,0.9168
NYY,1854,0.3443,721,0.3368,1802,0.2945,707,0.2914,1.0649,1.0419,0.911,0.9013
CIN,1904,0.3387,766,0.343,1963,0.3541,780,0.3634,1.0476,1.0611,1.0953,1.1241
ATL,1899,0.3379,710,0.3225,1829,0.301,694,0.3007,1.0453,0.9976,0.9309,0.9301
WSH,1964,0.3367,735,0.3438,2015,0.3548,755,0.3444,1.0414,1.0634,1.0973,1.0654
CWS,1863,0.3352,672,0.3526,1891,0.3382,677,0.3307,1.0369,1.0906,1.0459,1.023
CHC,1964,0.3327,722,0.33,1851,0.3282,710,0.3431,1.0292,1.0208,1.0151,1.0612
STL,1848,0.3307,682,0.3327,1874,0.3509,688,0.3467,1.023,1.0292,1.0854,1.0723
ATH,1895,0.3296,739,0.3246,1928,0.3264,752,0.3258,1.0196,1.0041,1.0094,1.0078
DET,1884,0.3296,713,0.2933,1859,0.312,715,0.3055,1.0195,0.9073,0.965,0.9449
HOU,1928,0.3285,759,0.3078,1999,0.3382,801,0.3377,1.0163,0.9519,1.046,1.0446
PIT,1942,0.3278,722,0.3415,1885,0.3153,683,0.3313,1.0139,1.0562,0.9754,1.0247
SEA,1932,0.3273,712,0.3132,1898,0.3196,702,0.3176,1.0125,0.9688,0.9884,0.9824
MIL,1835,0.3218,708,0.3225,1725,0.2927,633,0.2536,0.9955,0.9976,0.9053,0.7844
NYM,1841,0.3217,731,0.3372,1898,0.3111,744,0.3064,0.995,1.043,0.9624,0.9476
CLE,1934,0.3216,750,0.3259,1905,0.3152,724,0.3135,0.9949,1.0082,0.975,0.9698
TEX,1843,0.3203,680,0.337,1789,0.3154,644,0.3059,0.9908,1.0425,0.9755,0.9461
BAL,1877,0.3179,779,0.3034,1944,0.33,814,0.3451,0.9835,0.9386,1.0208,1.0674
SD,1790,0.3166,666,0.3015,1830,0.3042,687,0.303,0.9794,0.9325,0.9409,0.9372
PHI,1888,0.3164,787,0.3261,1939,0.304,795,0.2954,0.9786,1.0087,0.9404,0.9137
AZ,1779,0.3154,711,0.3183,1798,0.3387,683,0.327,0.9756,0.9846,1.0476,1.0114
KC,1878,0.3153,747,0.3139,1894,0.338,753,0.3212,0.9753,0.971,1.0455,0.9934
MIN,1900,0.3149,700,0.3067,1904,0.3197,726,0.3108,0.9739,0.9488,0.9888,0.9612
LAA,1891,0.3144,642,0.2962,1961,0.3302,715,0.3401,0.9726,0.9162,1.0215,1.0518
TB,1838,0.3135,677,0.3159,1810,0.3266,661,0.298,0.9697,0.9772,1.0101,0.9218
BOS,1844,0.31,678,0.309,1816,0.3316,655,0.3029,0.9588,0.9559,1.0256,0.9368
MIA,1879,0.3075,709,0.3035,1887,0.3149,721,0.3162,0.9512,0.9387,0.9741,0.978
TOR,1832,0.3061,715,0.3026,1844,0.3108,699,0.3088,0.9469,0.9361,0.9613,0.9553
COL,1876,0.3058,701,0.292,1953,0.3488,764,0.365,0.9458,0.9033,1.0789,1.1288
SF,1809,0.2988,799,0.2986,1845,0.3229,795,0.3288,0.9243,0.9235,0.9987,1.017
