feature,n_transitions,mean_cor,min_cor,max_cor,mean_abs_cor,sign_flip,mean_n,recommendation
xwoba_per_pa,5,0.4602,0.4004,0.5042,0.4602,False,197,KEEP
c_plus_swstr,5,-0.3692,-0.4196,-0.3145,0.3692,False,197,KEEP
avg_ev,5,0.3338,0.2732,0.4175,0.3338,False,197,KEEP
iso,5,0.3135,0.1973,0.423,0.3135,False,197,KEEP
k_pct,5,-0.3116,-0.3538,-0.2345,0.3116,False,197,KEEP
hr_per_pa,5,0.244,0.1242,0.3443,0.244,False,197,KEEP
hard_hit_pct,5,0.2413,0.1677,0.3514,0.2413,False,197,KEEP
contact_pct,5,0.2383,0.1903,0.2835,0.2383,False,197,KEEP
whiff_pct,5,-0.2383,-0.2835,-0.1903,0.2383,False,197,KEEP
swstr_pct,5,-0.2358,-0.2861,-0.1776,0.2358,False,197,KEEP
bb_pct,5,0.2217,0.0787,0.3164,0.2217,False,197,KEEP
z_contact_pct,5,0.1998,0.1425,0.2497,0.1998,False,197,KEEP
xwoba_on_contact,5,0.1985,0.1436,0.2506,0.1985,False,197,KEEP
barrel_pct,5,0.1813,0.112,0.2484,0.1813,False,197,KEEP
zone_pct,5,-0.171,-0.2573,-0.0794,0.171,False,197,KEEP
chase_pct,5,-0.1295,-0.184,-0.0602,0.1295,False,197,KEEP
o_swing_pct,5,-0.1295,-0.184,-0.0602,0.1295,False,197,KEEP
in_play_pct,5,0.1054,0.036,0.179,0.1054,False,197,KEEP
sb_per_pa,5,0.0994,0.016,0.1355,0.0994,False,197,WATCH
swing_pct,5,-0.0985,-0.1729,-0.0414,0.0985,False,197,WATCH
sprint_speed,5,0.0702,0.0268,0.136,0.0702,False,197,WATCH
z_swing_pct,5,0.0376,-0.0353,0.1311,0.0517,True,197,DROP
hbp_pct,5,-0.0045,-0.0276,0.0153,0.014,True,197,DROP
